rownumber,animalgender,breedname,borough,zipcode
105449,F,Greyhound,Brooklyn,11222
105450,F,Chihuahua,Manhattan,10458
105451,M,Yorkshire Terrier,Manhattan,10021
105452,F,Dachshund Smooth Coat Miniature,Brooklyn,11229
105453,M,Not Listed,Queens,11423
105454,M,English Bulldog,Manhattan,10036
105455,M,Toy Poodle,Queens,11694
105456,F,Not Listed,Manhattan,10019
105457,M,Not Listed,Manhattan,10011
105458,M,Yorkshire Terrier,Queens,11421
105459,F,Labrador Retriever Crossbreed,Staten Island,10303
105460,F,Jack Russell Terrier,Bronx,10463
105461,F,Poodle Crossbreed,Staten Island,10314
105462,M,Maltese Crossbreed,Manhattan,10025
105463,M,Not Listed,Manhattan,10025
105464,F,Tibetan Terrier,Manhattan,10024
105465,F,Shih Tzu,Queens,11366
105466,M,Chihuahua Crossbreed,Bronx,10460
105467,M,French Bulldog,Manhattan,10014
105498,F,Shiba Inu,Manhattan,10282
105468,M,Bichon Frise,Queens,11367
105469,F,Not Listed,Brooklyn,11226
105470,F,Shih Tzu,Manhattan,10014
105471,F,Soft Coated Wheaten Terrier,Queens,11364
105472,M,Not Listed,Brooklyn,11235
105473,M,Bulldog,Manhattan,10001
105474,M,Yorkshire Terrier,Bronx,10469
105475,M,Chihuahua,Brooklyn,11221
105476,F,Not Listed,Queens,11378
105477,F,Maltese,Manhattan,10021
105478,F,Shih Tzu,Queens,11357
105479,M,Labrador Retriever Crossbreed,Manhattan,10025
105480,M,Beagle Crossbreed,Manhattan,10009
105481,M,Not Listed,Manhattan,10002
105482,M,Labradoodle,Manhattan,10021
105483,M,Shih Tzu,Bronx,10467
105484,F,Bichon Frise,Manhattan,10065
105485,M,Shih Tzu,Brooklyn,11204
105486,M,West Highland White Terrier,Manhattan,10065
105487,M,Not Listed,Queens,11365
105488,M,Not Listed,Queens,11373
105489,M,Chihuahua,Bronx,10462
105490,M,Pembroke Welsh Corgi,Manhattan,10019
105491,F,Maltese,Brooklyn,11218
105492,F,Shih Tzu,Brooklyn,11215
105493,M,Labrador Retriever Crossbreed,Manhattan,10028
105494,M,Miniature Schnauzer,Brooklyn,11249
105495,M,Wire Fox Terrier,Brooklyn,11218
105496,M,Chihuahua,Manhattan,10128
105497,M,Shih Tzu,Manhattan,10006
105499,F,Not Listed,Queens,11378
105500,M,German Shepherd Dog,Queens,11692
105501,M,Not Listed,Staten Island,10305
105502,F,Chihuahua Crossbreed,Queens,11105
105503,M,Shih Tzu,Queens,11361
105504,F,Labrador Retriever,Staten Island,10314
105505,F,Lhasa Apso,Queens,11694
105506,M,Yorkshire Terrier,Brooklyn,11222
105507,M,Puggle,Bronx,10465
105508,F,Shih Tzu,Manhattan,10014
105509,M,Pug,Manhattan,10017
105510,M,Not Listed,Bronx,10471
105511,M,American Pit Bull Mix / Pit Bull Mix,Staten Island,10314
105512,M,Chihuahua Crossbreed,Manhattan,10003
105513,M,Shih Tzu,Brooklyn,11232
105514,M,Not Listed,Brooklyn,11201
105515,F,Terrier Crossbreed,Queens,11378
105516,M,Not Listed,Manhattan,10025
105517,M,American Foxhound,Brooklyn,11205
105518,M,Goldendoodle,Staten Island,10314
105519,M,Akita,Queens,11385
105520,M,Pekingese,Queens,11385
105521,F,Not Listed,Manhattan,10014
105522,M,Bichon Frise,Staten Island,10307
105523,F,Not Listed,Brooklyn,11209
105524,M,Dachshund Smooth Coat,Brooklyn,11223
105525,M,Akita,Queens,11379
105526,M,Basenji,Staten Island,10312
105527,F,Havanese,Manhattan,10003
105528,F,Labrador Retriever,Staten Island,10312
105529,M,Toy Poodle,Manhattan,10022
105530,M,Miniature Pinscher,Staten Island,10306
105531,F,German Shepherd Crossbreed,Manhattan,10019
105532,M,Shih Tzu,Queens,11358
105533,F,Toy Poodle,Queens,11374
105534,M,Not Listed,Brooklyn,11205
105535,M,Chihuahua,Queens,11373
105536,F,Beagle,Queens,11105
105537,F,Beagle,Brooklyn,11218
105538,M,American Foxhound,Staten Island,10312
105539,F,Cavalier King Charles Spaniel,Queens,11102
105540,F,Toy Poodle,Queens,11355
105541,M,Yorkshire Terrier,Brooklyn,11209
105542,M,Yorkshire Terrier Crossbreed,Brooklyn,11212
105543,F,Golden Retriever,Staten Island,10301
105544,M,Maltese,Brooklyn,11228
105545,M,Labrador Retriever,Staten Island,10312
105546,F,Not Listed,Queens,11426
105547,F,Shih Tzu Crossbreed,Queens,11385
105548,M,Golden Retriever,Bronx,10467
105549,M,Yorkshire Terrier,Queens,11426
105550,M,Yorkshire Terrier,Bronx,10465
105551,F,Great Dane,Queens,11361
105552,F,Shih Tzu,Manhattan,10025
105553,M,Neapolitan Mastiff,Queens,11433
105554,F,American Pit Bull Terrier/Pit Bull,Queens,11414
105555,M,German Shepherd Crossbreed,Queens,11429
105556,M,American Bully,Staten Island,10304
105557,F,Not Listed,Brooklyn,11225
105558,F,Miniature Schnauzer,Queens,11357
105559,F,Maltese,Staten Island,10309
105560,M,Norwich Terrier,Bronx,10463
105561,M,Puli,Manhattan,10022
105562,M,Yorkshire Terrier,Manhattan,10030
105563,M,Siberian Husky,Queens,11354
105564,F,Jack Russell Terrier,Queens,11105
105565,M,Siberian Husky,Queens,11418
105566,M,English Bulldog,Queens,11375
105567,M,Shih Tzu,Manhattan,10044
105568,M,Yorkshire Terrier,Brooklyn,11233
105569,M,Chihuahua Crossbreed,Brooklyn,11216
105570,F,Maltese,Queens,11426
105571,F,Chihuahua,Brooklyn,11223
105572,F,Dachshund Smooth Coat Miniature,Manhattan,10128
105573,M,Yorkshire Terrier,Bronx,10459
105574,F,Collie Crossbreed,Queens,11370
105575,F,Labrador Retriever,Queens,11355
105576,F,Not Listed,Bronx,10465
105577,F,Labrador Retriever Crossbreed,Queens,11101
105578,F,Yorkshire Terrier,Brooklyn,11220
105579,M,Cairn Terrier,Staten Island,10312
105580,M,Not Listed,Queens,11379
105581,M,Puggle,Queens,11417
105582,F,Shetland Sheepdog,Manhattan,10003
105583,F,Maltese,Manhattan,10280
105584,F,Miniature Pinscher,Manhattan,10128
105585,M,Yorkshire Terrier,Brooklyn,11234
105586,M,Yorkshire Terrier,Bronx,10467
105587,F,Lhasa Apso,Queens,11370
105588,M,Not Listed,Manhattan,10012
105589,F,Cavalier King Charles Spaniel,Queens,11363
105590,F,Shih Tzu,Manhattan,10036
105591,F,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11238
105592,M,Beagle,Queens,11109
105593,M,German Shepherd Dog,Queens,11374
105594,F,German Shepherd Crossbreed,Brooklyn,11219
105595,F,Poodle,Manhattan,10029
105596,F,Australian Cattle Dog,Manhattan,10025
105597,F,American Pit Bull Terrier/Pit Bull,Bronx,10469
105598,F,Not Listed,Queens,11422
105599,F,Chihuahua,Bronx,10473
105600,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11207
105601,M,Not Listed,Manhattan,10003
105602,F,Terrier Crossbreed,Brooklyn,11222
105603,M,American Staffordshire Terrier ,Queens,11694
105604,M,Chihuahua Crossbreed,Queens,11693
105605,M,Chihuahua,Queens,11372
105606,M,Not Listed,Queens,11357
105607,M,West Highland White Terrier,Manhattan,10001
105608,F,Not Listed,Brooklyn,11234
105609,F,English Bulldog,Queens,11105
105610,M,Maltese,Staten Island,10302
105611,M,Not Listed,Queens,11105
105612,M,Chihuahua,Brooklyn,11226
105613,M,Golden Retriever,Queens,11102
105614,F,Not Listed,Bronx,10465
105615,M,Dachshund Smooth Coat Miniature,Staten Island,10312
105616,F,Miniature Poodle,Queens,11414
105617,M,Terrier Crossbreed,Manhattan,10030
105618,F,Maltese,Bronx,10467
105619,M,Shih Tzu Crossbreed,Bronx,10462
105620,F,Not Listed,Brooklyn,11213
105621,M,Shetland Sheepdog,Queens,11385
105622,F,Labradoodle,Manhattan,10025
105623,F,Chihuahua,Queens,11772
105624,M,German Shorthaired Pointer,Manhattan,10009
105625,F,Tibetan Spaniel,Manhattan,10009
105626,F,Not Listed,Manhattan,10009
105627,F,Toy Poodle,Manhattan,10001
105628,M,Not Listed,Manhattan,10025
105629,F,American Pit Bull Mix / Pit Bull Mix,Queens,11103
105630,M,Yorkshire Terrier,Bronx,10466
105631,M,Miniature Pinscher,Brooklyn,11217
105632,F,Wirehaired Dachshund,Bronx,10473
105633,M,Rottweiler,Brooklyn,11231
105634,F,Not Listed,Queens,11361
105635,F,Golden Retriever,Brooklyn,11230
105636,M,German Shepherd Dog,Brooklyn,11231
105637,F,Beagle Crossbreed,Brooklyn,11217
105638,M,Maltese,Manhattan,10012
105639,F,Maltese,Manhattan,10280
105640,M,Shih Tzu,Manhattan,10044
105641,M,Not Listed,Manhattan,10025
105642,M,Shih Tzu,Manhattan,10025
105643,M,Cane Corso,Brooklyn,11205
105644,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11221
105645,M,Yorkshire Terrier Crossbreed,Brooklyn,11233
105646,M,German Shorthaired Pointer,Queens,11354
105647,F,German Shepherd Crossbreed,Bronx,10463
105648,F,Goldendoodle,Staten Island,10306
105649,M,Bouvier Des Flandres,Staten Island,10314
105650,F,Not Listed,Queens,11694
105651,M,Toy Poodle,Bronx,10452
105652,M,Rottweiler,Brooklyn,11214
105653,F,Labrador Retriever,Queens,11364
105654,F,Yorkshire Terrier,Manhattan,10075
105655,F,Basset Hound,Staten Island,10312
105656,F,Bichon Frise,Queens,11414
105657,F,Chihuahua,Brooklyn,11224
105658,M,Not Listed,Brooklyn,11221
105659,M,Maltese,Brooklyn,11204
105660,M,Havanese,Manhattan,10011
105661,M,Miniature Poodle,Manhattan,10028
105662,M,Pomeranian,Queens,11414
105663,M,Cocker Spaniel,Staten Island,10306
105664,F,Not Listed,Manhattan,10025
105665,F,Shih Tzu,Bronx,10459
105666,F,Toy Poodle,Queens,11374
105667,F,Jack Russell Terrier,Staten Island,10314
105668,F,Pomeranian,Manhattan,10029
105669,F,Not Listed,Staten Island,10301
105670,M,French Bulldog,Brooklyn,11221
105671,M,Maltese,Staten Island,10301
105672,F,Miniature Poodle,Brooklyn,11222
105673,M,Yorkshire Terrier,Brooklyn,11218
105674,F,Havanese,Manhattan,10014
105675,F,Miniature Schnauzer,Manhattan,10019
105676,F,Shih Tzu,Brooklyn,11204
105677,M,Shih Tzu,Queens,11103
105678,F,Maltese,Queens,11362
105679,F,Pomeranian,Staten Island,10306
105680,F,Maltese,Bronx,10458
105681,F,Yorkshire Terrier,Brooklyn,11220
105682,F,Shih Tzu,Bronx,10462
105683,F,Labrador Retriever Crossbreed,Brooklyn,11229
105684,F,Terrier Crossbreed,Brooklyn,11226
105685,M,Toy Poodle,Manhattan,10038
105686,M,Not Listed,Staten Island,10314
105687,M,Rottweiler,Bronx,10469
105688,F,Toy Poodle,Staten Island,10312
105689,M,American Pit Bull Terrier/Pit Bull,Bronx,10467
105690,F,Not Listed,Queens,11372
105691,M,Not Listed,Staten Island,10306
105692,M,German Shepherd Crossbreed,Brooklyn,11226
105693,M,Maltese,Queens,11367
105694,F,Labradoodle,Staten Island,10306
105695,F,Border Terrier,Manhattan,10003
105696,M,Labrador Retriever Crossbreed,Manhattan,10024
105697,M,Yorkshire Terrier,Staten Island,10304
105698,F,Yorkshire Terrier,Staten Island,10314
105699,F,Greyhound,Queens,11423
105700,F,Not Listed,Staten Island,10306
105701,F,Great Dane,Manhattan,10013
105702,M,Cavalier King Charles Spaniel,Manhattan,10028
105703,M,American Pit Bull Terrier/Pit Bull,Bronx,10461
105704,F,Yorkshire Terrier,Brooklyn,11230
105705,F,Bichon Frise,Manhattan,10023
105706,F,Chihuahua,Brooklyn,11218
105707,F,Shetland Sheepdog,Queens,11385
105708,M,Not Listed,Queens,11101
105709,M,Shih Tzu,Bronx,10456
105710,M,Not Listed,Queens,11357
105711,M,Not Listed,Brooklyn,11235
105712,M,Pug,Staten Island,10305
105713,F,Coton de Tulear,Staten Island,10301
105714,M,Doberman Pinscher,Queens,11373
105715,M,Bichon Frise,Brooklyn,11209
105716,M,Miniature Schnauzer,Queens,11361
105717,F,Boxer Crossbreed,Brooklyn,11226
105718,F,Labrador Retriever,Staten Island,10314
